provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2020;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;;N;2;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2020;10;1;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;;N;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V
28;102;1;7;28102001_7_8;2020;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;;N;;N;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2020;10;1;6;V;6;V;6;V;6;V;6;V;7;V;9;V;8;V;;N;;N;15;V;8;V;6;V;3;V;4;V;4;V;3;V;3;V;4;V;5;V;4;V;4;V;4;V;3;V
28;102;1;10;28102001_10_49;2020;10;1;16;V;21;V;21;V;19;V;18;V;20;V;18;V;;N;;N;;N;10;V;17;V;25;V;21;V;10;V;11;V;14;V;17;V;15;V;12;V;7;V;6;V;6;V;5;V
28;102;1;12;28102001_12_8;2020;10;1;8;V;8;V;8;V;8;V;8;V;9;V;11;V;10;V;;N;;N;19;V;10;V;8;V;5;V;6;V;6;V;5;V;5;V;6;V;7;V;6;V;6;V;6;V;5;V
28;102;1;14;28102001_14_6;2020;10;1;93;V;90;V;84;V;83;V;79;V;70;V;63;V;;N;;N;;N;71;V;78;V;87;V;94;V;102;V;101;V;92;V;81;V;76;V;74;V;72;V;71;V;67;V;67;V
28;120;1;7;28120001_7_8;2020;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;8;28120001_8_8;2020;10;1;4;V;3;V;3;V;3;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V
28;120;1;9;28120001_9_49;2020;10;1;5;V;7;V;7;V;5;V;3;V;2;V;2;V;3;V;2;V;1;V;1;V;1;V;6;V;6;V;7;V;3;V;1;V;1;V;2;V;2;V;1;V;2;V;1;V;1;V
28;120;1;10;28120001_10_49;2020;10;1;12;V;17;V;11;V;10;V;5;V;3;V;9;V;7;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;4;V;8;V;10;V;8;V;7;V;4;V;3;V;1;V
28;120;1;12;28120001_12_8;2020;10;1;6;V;5;V;5;V;5;V;3;V;4;V;4;V;3;V;3;V;3;V;3;V;4;V;4;V;3;V;3;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V
28;120;1;14;28120001_14_6;2020;10;1;83;V;87;V;92;V;89;V;107;V;98;V;83;V;73;V;68;V;66;V;67;V;69;V;69;V;71;V;78;V;83;V;82;V;76;V;74;V;74;V;74;V;74;V;73;V;71;V
28;123;2;7;28123002_7_8;2020;10;1;1;V;1;V;1;V;2;V;2;V;10;V;24;V;39;V;52;V;14;V;4;V;4;V;4;V;3;V;2;V;2;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;123;2;8;28123002_8_8;2020;10;1;24;V;24;V;19;V;26;V;31;V;42;V;66;V;66;V;70;V;30;V;11;V;12;V;14;V;15;V;10;V;14;V;19;V;22;V;23;V;24;V;14;V;11;V;7;V;7;V
28;123;2;10;28123002_10_49;2020;10;1;29;V;28;V;28;V;25;V;27;V;27;V;31;V;39;V;49;V;38;V;16;V;7;V;4;V;6;V;7;V;13;V;17;V;17;V;20;V;15;V;12;V;9;V;9;V;8;V
28;123;2;12;28123002_12_8;2020;10;1;26;V;26;V;21;V;29;V;35;V;58;V;102;V;126;V;150;V;52;V;17;V;17;V;20;V;20;V;13;V;17;V;23;V;24;V;26;V;26;V;16;V;13;V;9;V;9;V
28;123;2;14;28123002_14_6;2020;10;1;57;V;45;V;54;V;41;V;42;V;31;V;10;V;15;V;21;V;54;V;72;V;77;V;77;V;78;V;94;V;90;V;77;V;66;V;61;V;57;V;65;V;68;V;65;V;66;V
28;13;2;7;28013002_7_8;2020;10;1;2;V;2;V;2;V;2;V;2;V;3;V;4;V;9;V;5;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V
28;13;2;8;28013002_8_8;2020;10;1;17;V;11;V;10;V;10;V;16;V;22;V;31;V;26;V;18;V;10;V;8;V;7;V;7;V;7;V;7;V;7;V;7;V;11;V;14;V;10;V;12;V;5;V;3;V;3;V
28;13;2;10;28013002_10_49;2020;10;1;29;V;30;V;32;V;27;V;25;V;21;V;18;V;19;V;19;V;21;V;11;V;6;V;9;V;9;V;9;V;12;V;12;V;12;V;12;V;15;V;15;V;12;V;9;V;8;V
28;13;2;12;28013002_12_8;2020;10;1;20;V;14;V;13;V;13;V;19;V;26;V;38;V;41;V;25;V;15;V;12;V;10;V;10;V;10;V;10;V;10;V;10;V;14;V;17;V;13;V;15;V;7;V;5;V;5;V
28;13;2;14;28013002_14_6;2020;10;1;30;V;31;V;28;V;25;V;27;V;38;V;31;V;31;V;47;V;62;V;70;V;77;V;84;V;79;V;76;V;72;V;67;V;62;V;57;V;59;V;56;V;58;V;60;V;62;V
28;133;2;7;28133002_7_8;2020;10;1;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;133;2;8;28133002_8_8;2020;10;1;4;V;4;V;4;V;5;V;6;V;7;V;11;V;6;V;2;V;3;V;3;V;3;V;4;V;4;V;3;V;3;V;4;V;5;V;5;V;4;V;3;V;2;V;2;V;2;V
28;133;2;10;28133002_10_49;2020;10;1;11;V;9;V;15;V;15;V;15;V;13;V;10;V;12;V;12;V;8;V;5;V;5;V;4;V;9;V;11;V;11;V;8;V;6;V;5;V;6;V;4;V;5;V;5;V;5;V
28;133;2;12;28133002_12_8;2020;10;1;6;V;6;V;6;V;7;V;8;V;9;V;13;V;9;V;4;V;5;V;6;V;5;V;7;V;6;V;5;V;5;V;6;V;8;V;7;V;6;V;5;V;4;V;4;V;4;V
28;133;2;14;28133002_14_6;2020;10;1;86;V;79;V;85;V;78;V;76;V;77;V;76;V;74;V;76;V;77;V;76;V;77;V;83;V;85;V;87;V;87;V;83;V;78;V;77;V;77;V;75;V;72;V;71;V;70;V
28;14;2;7;28014002_7_8;2020;10;1;1;V;1;V;1;V;1;V;1;V;3;V;10;V;8;V;16;V;13;V;3;V;3;V;2;V;1;V;1;V;2;V;2;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V
28;14;2;8;28014002_8_8;2020;10;1;10;V;9;V;10;V;10;V;17;V;39;V;47;V;40;V;46;V;39;V;16;V;13;V;11;V;8;V;8;V;10;V;9;V;11;V;9;V;9;V;9;V;6;V;4;V;4;V
28;14;2;10;28014002_10_49;2020;10;1;17;V;18;V;20;V;20;V;23;V;26;V;35;V;30;V;33;V;38;V;23;V;13;V;11;V;12;V;12;V;12;V;16;V;15;V;10;V;8;V;6;V;10;V;12;V;6;V
28;14;2;12;28014002_12_8;2020;10;1;12;V;11;V;12;V;12;V;19;V;44;V;62;V;51;V;69;V;59;V;21;V;17;V;15;V;10;V;10;V;12;V;12;V;16;V;11;V;11;V;11;V;8;V;6;V;6;V
28;14;2;14;28014002_14_6;2020;10;1;66;V;61;V;68;V;67;V;59;V;30;V;21;V;36;V;31;V;41;V;66;V;72;V;80;V;88;V;93;V;89;V;79;V;71;V;70;V;66;V;64;V;66;V;63;V;65;V
28;148;4;7;28148004_7_8;2020;10;1;2;V;2;V;2;V;3;V;2;V;5;V;53;V;96;V;65;V;21;V;5;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V
28;148;4;8;28148004_8_8;2020;10;1;22;V;20;V;27;V;37;V;43;V;41;V;60;V;71;V;71;V;55;V;21;V;11;V;11;V;14;V;13;V;15;V;13;V;18;V;19;V;18;V;17;V;13;V;8;V;7;V
28;148;4;9;28148004_9_49;2020;10;1;13;V;14;V;16;V;16;V;17;V;17;V;17;V;21;V;25;V;28;V;22;V;14;V;7;V;2;V;1;V;3;V;3;V;6;V;6;V;7;V;5;V;5;V;5;V;5;V
28;148;4;10;28148004_10_49;2020;10;1;17;V;20;V;14;V;9;V;7;V;7;V;7;V;5;V;1;V;1;V;1;V;2;V;5;V;7;V;7;V;7;V;9;V;10;V;12;V;12;V;10;V;6;V;1;V;2;V
28;148;4;12;28148004_12_8;2020;10;1;25;V;23;V;30;V;41;V;46;V;49;V;141;V;218;V;171;V;87;V;29;V;16;V;15;V;19;V;18;V;19;V;16;V;21;V;21;V;20;V;19;V;15;V;10;V;9;V
28;148;4;14;28148004_14_6;2020;10;1;48;V;51;V;33;V;19;V;29;V;31;V;3;V;5;V;11;V;46;V;66;V;73;V;77;V;74;V;80;V;89;V;85;V;70;V;64;V;63;V;61;V;65;V;67;V;68;V
28;16;1;1;28016001_1_38;2020;10;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;16;1;6;28016001_6_48;2020;10;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V
28;16;1;7;28016001_7_8;2020;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2020;10;1;3;V;3;V;3;V;3;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V
28;16;1;9;28016001_9_49;2020;10;1;7;V;7;V;9;V;9;V;8;V;2;V;5;V;7;V;2;V;1;V;2;V;1;V;4;V;7;V;2;V;1;V;5;V;5;V;7;V;4;V;3;V;2;V;4;V;3;V
28;16;1;10;28016001_10_49;2020;10;1;7;V;8;V;13;V;8;V;13;V;11;V;3;V;8;V;8;V;5;V;10;V;7;V;4;V;3;V;6;V;10;V;2;V;2;V;4;V;7;V;3;V;3;V;6;V;3;V
28;16;1;12;28016001_12_8;2020;10;1;5;V;5;V;5;V;5;V;5;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;4;V;4;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V
28;16;1;14;28016001_14_6;2020;10;1;84;V;83;V;83;V;83;V;82;V;94;V;90;V;76;V;72;V;71;V;71;V;71;V;74;V;74;V;84;V;87;V;86;V;83;V;79;V;78;V;77;V;76;V;74;V;73;V
28;16;1;20;28016001_20_59;2020;10;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;30;28016001_30_59;2020;10;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;42;28016001_42_2;2020;10;1;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V;1.3;V
28;16;1;44;28016001_44_2;2020;10;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;16;1;431;28016001_431_59;2020;10;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;161;1;7;28161001_7_8;2020;10;1;1;V;1;V;1;V;1;V;1;V;2;V;3;V;5;V;3;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V
28;161;1;8;28161001_8_8;2020;10;1;6;V;6;V;7;V;9;V;9;V;15;V;24;V;27;V;15;V;7;V;4;V;5;V;6;V;6;V;7;V;5;V;4;V;6;V;6;V;5;V;4;V;4;V;3;V;4;V
28;161;1;9;28161001_9_49;2020;10;1;14;V;17;V;19;V;22;V;19;V;16;V;12;V;13;V;13;V;15;V;16;V;11;V;11;V;12;V;15;V;14;V;11;V;10;V;8;V;6;V;6;V;4;V;4;V;3;V
28;161;1;12;28161001_12_8;2020;10;1;8;V;8;V;9;V;11;V;11;V;17;V;28;V;34;V;19;V;10;V;6;V;7;V;8;V;8;V;9;V;8;V;6;V;8;V;8;V;7;V;7;V;6;V;6;V;6;V
28;161;1;14;28161001_14_6;2020;10;1;83;V;78;V;68;V;59;V;57;V;53;V;50;V;49;V;61;V;67;V;75;V;80;V;82;V;88;V;87;V;81;V;77;V;73;V;70;V;69;V;68;V;63;V;65;V;65;V
28;171;1;1;28171001_1_38;2020;10;1;1;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;;N;;N;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;171;1;6;28171001_6_48;2020;10;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V
28;171;1;7;28171001_7_8;2020;10;1;1;V;1;V;1;V;1;V;6;V;3;V;2;V;2;V;;N;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;8;28171001_8_8;2020;10;1;15;V;16;V;17;V;17;V;20;V;22;V;19;V;16;V;;N;6;V;5;V;4;V;5;V;4;V;3;V;3;V;3;V;3;V;3;V;4;V;6;V;4;V;6;V;7;V
28;171;1;9;28171001_9_49;2020;10;1;15;V;15;V;16;V;13;V;14;V;14;V;14;V;8;V;2;V;1;V;3;V;5;V;5;V;7;V;5;V;3;V;7;V;13;V;12;V;12;V;9;V;7;V;7;V;9;V
28;171;1;10;28171001_10_49;2020;10;1;23;V;15;V;21;V;19;V;17;V;22;V;20;V;22;V;16;V;9;V;9;V;6;V;11;V;10;V;12;V;14;V;17;V;6;V;8;V;8;V;9;V;10;V;6;V;7;V
28;171;1;12;28171001_12_8;2020;10;1;17;V;18;V;19;V;19;V;30;V;26;V;22;V;20;V;;N;9;V;7;V;6;V;7;V;6;V;6;V;6;V;5;V;5;V;5;V;6;V;8;V;6;V;8;V;9;V
28;171;1;14;28171001_14_6;2020;10;1;54;V;42;V;33;V;31;V;22;V;14;V;19;V;28;V;53;V;65;V;72;V;78;V;82;V;;N;82;V;77;V;75;V;76;V;74;V;71;V;68;V;65;V;64;V;63;V
28;180;1;7;28180001_7_8;2020;10;1;1;V;1;V;1;V;1;V;1;V;2;V;4;V;3;V;4;V;5;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;180;1;8;28180001_8_8;2020;10;1;8;V;9;V;12;V;14;V;19;V;26;V;32;V;19;V;19;V;23;V;14;V;9;V;8;V;7;V;7;V;7;V;8;V;10;V;9;V;7;V;5;V;5;V;5;V;5;V
28;180;1;9;28180001_9_49;2020;10;1;14;V;16;V;19;V;17;V;16;V;16;V;12;V;14;V;12;V;13;V;11;V;10;V;7;V;10;V;11;V;12;V;15;V;15;V;12;V;12;V;11;V;8;V;6;V;6;V
28;180;1;12;28180001_12_8;2020;10;1;10;V;11;V;14;V;16;V;21;V;28;V;38;V;23;V;24;V;30;V;18;V;12;V;10;V;9;V;9;V;9;V;10;V;14;V;11;V;9;V;7;V;7;V;7;V;7;V
28;180;1;14;28180001_14_6;2020;10;1;94;V;88;V;79;V;70;V;60;V;48;V;36;V;50;V;59;V;60;V;74;V;80;V;90;V;96;V;92;V;92;V;83;V;75;V;72;V;73;V;73;V;69;V;65;V;67;V
28;45;2;6;28045002_6_48;2020;10;1;0.3;V;0.4;V;0.4;V;0.3;V;0.4;V;0.4;V;0.5;V;0.6;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V
28;45;2;7;28045002_7_8;2020;10;1;1;V;1;V;1;V;1;V;3;V;16;V;35;V;17;V;8;V;6;V;3;V;2;V;3;V;2;V;1;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V
28;45;2;8;28045002_8_8;2020;10;1;4;V;3;V;3;V;4;V;18;V;58;V;82;V;47;V;24;V;17;V;7;V;3;V;3;V;4;V;3;V;4;V;6;V;6;V;7;V;5;V;3;V;3;V;6;V;4;V
28;45;2;10;28045002_10_49;2020;10;1;14;V;15;V;16;V;12;V;5;V;7;V;19;V;26;V;21;V;19;V;15;V;7;V;2;V;1;V;3;V;4;V;4;V;3;V;4;V;9;V;7;V;6;V;9;V;10;V
28;45;2;12;28045002_12_8;2020;10;1;6;V;5;V;5;V;6;V;22;V;82;V;134;V;73;V;36;V;26;V;11;V;5;V;7;V;7;V;5;V;7;V;8;V;9;V;10;V;7;V;5;V;5;V;8;V;6;V
28;45;2;14;28045002_14_6;2020;10;1;81;V;83;V;86;V;86;V;73;V;40;V;20;V;40;V;62;V;66;V;69;V;69;V;69;V;72;V;74;V;78;V;77;V;76;V;71;V;71;V;72;V;68;V;62;V;62;V
28;47;2;1;28047002_1_38;2020;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;47;2;7;28047002_7_8;2020;10;1;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;1;V;2;V;1;V;1;V;1;V
28;47;2;8;28047002_8_8;2020;10;1;6;V;9;V;7;V;7;V;12;V;11;V;16;V;15;V;10;V;9;V;9;V;10;V;11;V;12;V;12;V;15;V;21;V;20;V;21;V;17;V;21;V;15;V;12;V;10;V
28;47;2;9;28047002_9_49;2020;10;1;10;V;7;V;9;V;9;V;9;V;8;V;8;V;8;V;8;V;7;V;7;V;7;V;3;V;1;V;2;V;3;V;6;V;8;V;6;V;6;V;7;V;8;V;6;V;6;V
28;47;2;12;28047002_12_8;2020;10;1;8;V;11;V;9;V;9;V;14;V;13;V;19;V;18;V;12;V;12;V;12;V;13;V;15;V;15;V;14;V;18;V;24;V;22;V;24;V;19;V;24;V;17;V;15;V;12;V
28;47;2;14;28047002_14_6;2020;10;1;81;V;80;V;82;V;80;V;81;V;85;V;72;V;65;V;64;V;64;V;64;V;65;V;64;V;65;V;71;V;73;V;66;V;64;V;59;V;60;V;53;V;57;V;60;V;60;V
28;47;2;20;28047002_20_59;2020;10;1;0.6;V;0.4;V;0.4;V;0.4;V;0.5;V;0.4;V;0.4;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.4;V;0.9;V;0.4;V;0.4;V;0.5;V;0.4;V;0.6;V;0.7;V;0.6;V;0.5;V
28;47;2;30;28047002_30_59;2020;10;1;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V
28;47;2;42;28047002_42_2;2020;10;1;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V
28;47;2;44;28047002_44_2;2020;10;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;47;2;431;28047002_431_59;2020;10;1;0.2;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.5;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V
28;49;3;7;28049003_7_8;2020;10;1;3;V;4;V;4;V;21;V;13;V;9;V;83;V;105;V;71;V;36;V;7;V;5;V;4;V;4;V;4;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;49;3;8;28049003_8_8;2020;10;1;44;V;37;V;42;V;59;V;54;V;58;V;77;V;77;V;71;V;58;V;17;V;11;V;12;V;14;V;12;V;10;V;11;V;12;V;19;V;20;V;14;V;9;V;7;V;4;V
28;49;3;9;28049003_9_49;2020;10;1;15;V;15;V;16;V;20;V;21;V;20;V;23;V;32;V;29;V;30;V;12;V;6;V;1;V;5;V;7;V;8;V;10;V;6;V;5;V;2;V;5;V;2;V;3;V;3;V
28;49;3;10;28049003_10_49;2020;10;1;27;V;26;V;30;V;37;V;33;V;32;V;37;V;51;V;65;V;52;V;32;V;9;V;9;V;9;V;10;V;16;V;13;V;11;V;5;V;11;V;7;V;2;V;16;V;7;V
28;49;3;12;28049003_12_8;2020;10;1;49;V;42;V;48;V;90;V;73;V;72;V;204;V;238;V;180;V;113;V;28;V;19;V;19;V;20;V;18;V;15;V;15;V;15;V;23;V;23;V;17;V;12;V;10;V;7;V
28;49;3;14;28049003_14_6;2020;10;1;27;V;29;V;18;V;4;V;15;V;19;V;2;V;3;V;6;V;21;V;57;V;67;V;68;V;67;V;77;V;86;V;78;V;68;V;58;V;55;V;59;V;64;V;63;V;65;V
28;5;2;1;28005002_1_38;2020;10;1;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;5;V;4;V;3;V;;N;;N;;N;3;V;3;V;3;V;3;V;2;V;2;V;3;V;2;V;2;V;3;V
28;5;2;6;28005002_6_48;2020;10;1;0.6;V;0.7;V;0.7;V;0.7;V;0.7;V;0.7;V;1;V;1.1;V;0.7;V;0.6;V;0.6;V;0.6;V;;N;;N;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V
28;5;2;7;28005002_7_8;2020;10;1;1;V;4;V;12;V;20;V;28;V;46;V;79;V;66;V;26;V;8;V;5;V;2;V;2;V;3;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;5;2;8;28005002_8_8;2020;10;1;48;V;56;V;64;V;58;V;56;V;57;V;62;V;62;V;52;V;28;V;22;V;15;V;15;V;18;V;17;V;14;V;11;V;12;V;16;V;32;V;25;V;16;V;11;V;6;V
28;5;2;9;28005002_9_49;2020;10;1;19;V;22;V;20;V;18;V;20;V;26;V;20;V;22;V;23;V;18;V;12;V;8;V;;N;5;V;7;V;8;V;9;V;9;V;10;V;10;V;10;V;9;V;7;V;7;V
28;5;2;10;28005002_10_49;2020;10;1;27;V;23;V;20;V;26;V;40;V;46;V;40;V;56;V;55;V;45;V;35;V;22;V;;N;24;V;6;V;14;V;21;V;14;V;8;V;21;V;16;V;15;V;9;V;10;V
28;5;2;12;28005002_12_8;2020;10;1;50;V;62;V;82;V;88;V;99;V;127;V;183;V;163;V;92;V;40;V;29;V;19;V;19;V;22;V;21;V;17;V;13;V;15;V;18;V;35;V;27;V;18;V;14;V;8;V
28;5;2;14;28005002_14_6;2020;10;1;22;V;9;V;1;V;1;V;1;V;1;V;1;V;4;V;21;V;61;V;70;V;72;V;75;V;72;V;80;V;89;V;92;V;78;V;66;V;48;V;50;V;59;V;61;V;66;V
28;58;4;7;28058004_7_8;2020;10;1;1;V;1;V;1;V;1;V;2;V;3;V;5;V;8;V;6;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;1;V;1;V;1;V;2;V;1;V;1;V;2;V
28;58;4;8;28058004_8_8;2020;10;1;6;V;6;V;8;V;12;V;22;V;26;V;37;V;42;V;19;V;10;V;6;V;6;V;6;V;7;V;7;V;7;V;8;V;8;V;7;V;5;V;8;V;5;V;3;V;2;V
28;58;4;10;28058004_10_49;2020;10;1;24;V;21;V;20;V;18;V;21;V;20;V;22;V;19;V;11;V;11;V;6;V;9;V;6;V;13;V;10;V;11;V;13;V;12;V;9;V;12;V;7;V;10;V;9;V;11;V
28;58;4;12;28058004_12_8;2020;10;1;8;V;8;V;10;V;14;V;25;V;31;V;45;V;54;V;29;V;15;V;10;V;9;V;9;V;10;V;10;V;10;V;13;V;11;V;9;V;8;V;12;V;7;V;5;V;5;V
28;58;4;14;28058004_14_6;2020;10;1;85;V;85;V;76;V;63;V;50;V;46;V;44;V;40;V;60;V;64;V;71;V;76;V;80;V;83;V;86;V;81;V;74;V;71;V;70;V;69;V;66;V;65;V;65;V;66;V
28;58;4;20;28058004_20_59;2020;10;1;0.6;V;0.5;V;0.8;V;2.2;V;2.4;V;9.1;V;1.8;V;1.1;V;1.8;V;0.7;V;0.6;V;1.3;V;1.7;V;0.7;V;2.4;V;3;V;2.3;V;3.1;V;1.2;V;2.1;V;1;V;1;V;1.1;V;0.5;V
28;58;4;30;28058004_30_59;2020;10;1;0.2;V;0.2;V;0.2;V;0.2;V;0.5;V;3.8;V;0.8;V;0.3;V;0.3;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.9;V;0.2;V;0.2;V;0.2;V;0.1;V;0.3;V;0.2;V;0.2;V;0.1;V;0.1;V
28;58;4;42;28058004_42_2;2020;10;1;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.1;V;1.1;V;1.1;V;1.2;V;1.2;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V
