PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2016;9;1;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2016;9;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.2;V;0.3;V;0.2;V;0.3;V;0.3;V;0.2;V;0.3;V;0.2;V;0.3;V;0.2;V
28;102;1;7;28102001_7_8;2016;9;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2016;9;1;3;V;3;V;2;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V
28;102;1;10;28102001_10_49;2016;9;1;20;V;15;V;19;V;15;V;14;V;14;V;13;V;23;V;20;V;22;V;22;V;18;V;19;V;26;V;23;V;24;V;19;V;23;V;16;V;8;V;8;V;10;V;9;V;8;V
28;102;1;12;28102001_12_8;2016;9;1;5;V;5;V;4;V;4;V;4;V;4;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V
28;102;1;14;28102001_14_6;2016;9;1;80;V;76;V;74;V;78;V;78;V;80;V;75;V;76;V;85;V;90;V;94;V;100;V;107;V;115;V;121;V;121;V;114;V;103;V;110;V;111;V;104;V;102;V;106;V;100;V
28;123;2;7;28123002_7_8;2016;9;1;2;V;2;V;2;V;3;V;5;V;12;V;18;V;14;V;9;V;6;V;6;V;3;V;2;V;2;V;3;V;3;V;5;V;5;V;3;V;4;V;5;V;4;V;3;V;4;V
28;123;2;8;28123002_8_8;2016;9;1;9;V;6;V;7;V;9;V;21;V;34;V;44;V;32;V;19;V;14;V;17;V;11;V;10;V;8;V;11;V;15;V;22;V;25;V;14;V;20;V;31;V;25;V;21;V;49;V
28;123;2;10;28123002_10_49;2016;9;1;34;V;28;V;19;V;17;V;16;V;22;V;21;V;20;V;27;V;26;V;20;V;25;V;26;V;23;V;33;V;22;V;15;V;24;V;21;V;40;V;13;V;11;V;9;V;9;V
