provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2021;1;1;2;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;2;V;1;V;2;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;6;28102001_6_48;2021;1;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V
28;102;1;7;28102001_7_8;2021;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2021;1;1;4;V;4;V;5;V;5;V;4;V;5;V;5;V;6;V;6;V;7;V;4;V;5;V;5;V;5;V;5;V;4;V;4;V;6;V;7;V;7;V;5;V;3;V;4;V;4;V
28;102;1;10;28102001_10_49;2021;1;1;1;V;7;V;14;V;9;V;5;V;7;V;4;V;5;V;5;V;2;V;1;V;1;V;3;V;5;V;1;V;3;V;7;V;10;V;11;V;8;V;8;V;7;V;1;V;2;V
28;102;1;12;28102001_12_8;2021;1;1;6;V;6;V;7;V;7;V;6;V;7;V;7;V;8;V;8;V;9;V;6;V;7;V;7;V;7;V;7;V;6;V;6;V;8;V;9;V;9;V;7;V;5;V;6;V;6;V
28;102;1;14;28102001_14_6;2021;1;1;61;V;60;V;56;V;57;V;53;V;49;V;48;V;51;V;51;V;52;V;61;V;63;V;65;V;73;V;72;V;73;V;70;V;63;V;61;V;61;V;64;V;65;V;60;V;60;V
28;120;1;7;28120001_7_8;2021;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;8;28120001_8_8;2021;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V
28;120;1;9;28120001_9_49;2021;1;1;9;V;9;V;6;V;5;V;4;V;4;V;4;V;3;V;1;V;1;V;2;V;5;V;4;V;1;V;1;V;1;V;1;V;1;V;2;V;5;V;3;V;1;V;4;V;20;V
28;120;1;10;28120001_10_49;2021;1;1;1;V;1;V;1;V;1;V;3;V;4;V;6;V;3;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;4;V;5;V;3;V;7;V;6;V;4;V;3;V;2;V
28;120;1;12;28120001_12_8;2021;1;1;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;4;V
28;120;1;14;28120001_14_6;2021;1;1;73;V;70;V;71;V;69;V;64;V;62;V;62;V;66;V;71;V;75;V;79;V;78;V;74;V;74;V;75;V;74;V;72;V;71;V;67;V;65;V;68;V;69;V;68;V;66;V
28;123;2;7;28123002_7_8;2021;1;1;7;V;2;V;1;V;1;V;2;V;7;V;6;V;6;V;4;V;4;V;3;V;3;V;3;V;2;V;1;V;1;V;2;V;3;V;2;V;2;V;4;V;6;V;22;V;32;V
28;123;2;8;28123002_8_8;2021;1;1;41;V;24;V;12;V;5;V;12;V;29;V;30;V;27;V;21;V;16;V;9;V;8;V;7;V;6;V;4;V;6;V;11;V;25;V;27;V;20;V;20;V;29;V;49;V;52;V
28;123;2;10;28123002_10_49;2021;1;1;14;V;24;V;20;V;8;V;4;V;13;V;16;V;12;V;12;V;8;V;3;V;1;V;1;V;1;V;2;V;2;V;1;V;2;V;6;V;9;V;9;V;10;V;16;V;35;V
28;123;2;12;28123002_12_8;2021;1;1;53;V;26;V;14;V;7;V;15;V;39;V;39;V;36;V;27;V;22;V;14;V;13;V;12;V;9;V;6;V;9;V;14;V;29;V;31;V;23;V;26;V;37;V;83;V;101;V
28;123;2;14;28123002_14_6;2021;1;1;30;V;45;V;56;V;63;V;45;V;20;V;18;V;21;V;33;V;46;V;63;V;71;V;75;V;76;V;77;V;75;V;68;V;52;V;49;V;53;V;48;V;35;V;10;V;5;V
28;13;2;7;28013002_7_8;2021;1;1;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;2;V;3;V;2;V
28;13;2;8;28013002_8_8;2021;1;1;12;V;5;V;5;V;5;V;4;V;6;V;5;V;5;V;5;V;3;V;2;V;3;V;3;V;4;V;2;V;3;V;4;V;12;V;15;V;15;V;10;V;7;V;8;V;8;V
28;13;2;10;28013002_10_49;2021;1;1;6;V;7;V;7;V;8;V;9;V;3;V;7;V;5;V;4;V;1;V;2;V;2;V;1;V;1;V;1;V;3;V;2;V;1;V;5;V;9;V;14;V;13;V;8;V;8;V
28;13;2;12;28013002_12_8;2021;1;1;16;V;8;V;8;V;8;V;7;V;9;V;8;V;8;V;10;V;8;V;7;V;8;V;8;V;9;V;7;V;8;V;9;V;17;V;20;V;20;V;15;V;11;V;12;V;11;V
28;13;2;14;28013002_14_6;2021;1;1;55;V;57;V;51;V;49;V;50;V;46;V;51;V;51;V;55;V;60;V;66;V;68;V;70;V;67;V;72;V;71;V;68;V;58;V;52;V;48;V;47;V;51;V;49;V;48;V
28;133;2;7;28133002_7_8;2021;1;1;3;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;2;V;2;V;3;V;3;V;4;V;2;V;2;V;2;V;2;V;2;V
28;133;2;8;28133002_8_8;2021;1;1;6;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;2;V;3;V;1;V;1;V;2;V;4;V;7;V;15;V;3;V;3;V;3;V;3;V;2;V
28;133;2;10;28133002_10_49;2021;1;1;14;V;18;V;9;V;5;V;2;V;1;V;1;V;1;V;3;V;4;V;5;V;8;V;6;V;16;V;4;V;2;V;1;V;3;V;7;V;18;V;14;V;9;V;9;V;11;V
28;133;2;12;28133002_12_8;2021;1;1;11;V;5;V;4;V;4;V;4;V;4;V;3;V;4;V;5;V;5;V;4;V;5;V;7;V;4;V;4;V;6;V;8;V;12;V;21;V;7;V;7;V;6;V;6;V;5;V
28;133;2;14;28133002_14_6;2021;1;1;76;V;75;V;72;V;73;V;74;V;72;V;72;V;74;V;73;V;75;V;78;V;79;V;78;V;77;V;78;V;79;V;80;V;71;V;61;V;67;V;65;V;66;V;68;V;64;V
28;14;2;7;28014002_7_8;2021;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V
28;14;2;8;28014002_8_8;2021;1;1;9;V;8;V;5;V;4;V;6;V;9;V;11;V;8;V;7;V;6;V;9;V;6;V;4;V;3;V;3;V;3;V;5;V;6;V;9;V;6;V;8;V;14;V;26;V;18;V
28;14;2;10;28014002_10_49;2021;1;1;2;V;6;V;10;V;4;V;5;V;4;V;2;V;3;V;3;V;4;V;3;V;5;V;2;V;3;V;5;V;3;V;2;V;3;V;4;V;3;V;7;V;8;V;5;V;7;V
28;14;2;12;28014002_12_8;2021;1;1;11;V;10;V;7;V;6;V;8;V;11;V;13;V;10;V;9;V;8;V;11;V;9;V;6;V;5;V;5;V;5;V;7;V;8;V;11;V;8;V;10;V;16;V;29;V;20;V
28;14;2;14;28014002_14_6;2021;1;1;58;V;61;V;59;V;56;V;55;V;42;V;40;V;39;V;50;V;57;V;60;V;69;V;77;V;78;V;78;V;77;V;74;V;69;V;63;V;64;V;60;V;47;V;32;V;29;V
28;148;4;7;28148004_7_8;2021;1;1;12;V;3;V;3;V;3;V;3;V;4;V;4;V;3;V;5;V;5;V;7;V;6;V;4;V;3;V;3;V;3;V;3;V;2;V;3;V;2;V;3;V;3;V;3;V;3;V
28;148;4;8;28148004_8_8;2021;1;1;51;V;23;V;24;V;22;V;18;V;21;V;25;V;20;V;18;V;13;V;16;V;13;V;6;V;4;V;3;V;4;V;8;V;11;V;16;V;11;V;17;V;21;V;18;V;12;V
28;148;4;9;28148004_9_49;2021;1;1;11;V;21;V;24;V;23;V;20;V;18;V;17;V;17;V;16;V;15;V;12;V;9;V;7;V;5;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;4;V;5;V;5;V
28;148;4;10;28148004_10_49;2021;1;1;13;V;21;V;25;V;25;V;22;V;21;V;21;V;21;V;19;V;14;V;9;V;7;V;4;V;3;V;2;V;3;V;4;V;6;V;3;V;4;V;7;V;6;V;7;V;6;V
28;148;4;12;28148004_12_8;2021;1;1;70;V;28;V;29;V;27;V;23;V;28;V;32;V;25;V;26;V;21;V;27;V;21;V;12;V;9;V;8;V;9;V;12;V;14;V;21;V;14;V;21;V;26;V;23;V;17;V
28;148;4;14;28148004_14_6;2021;1;1;12;V;32;V;32;V;24;V;24;V;16;V;13;V;24;V;28;V;44;V;44;V;59;V;75;V;76;V;77;V;76;V;72;V;65;V;58;V;61;V;51;V;41;V;46;V;54;V
28;16;1;1;28016001_1_38;2021;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;6;28016001_6_48;2021;1;1;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V
28;16;1;7;28016001_7_8;2021;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
