PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;102;1;1;28102001_1_38;2016;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;102;1;6;28102001_6_48;2016;1;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V
28;102;1;7;28102001_7_8;2016;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2016;1;1;6;V;6;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;5;V;4;V;4;V;3;V;3;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V
28;102;1;10;28102001_10_49;2016;1;1;4;V;9;V;7;V;4;V;6;V;4;V;4;V;4;V;4;V;3;V;9;V;3;V;1;V;1;V;2;V;2;V;2;V;1;V;3;V;4;V;3;V;2;V;4;V;6;V
28;102;1;12;28102001_12_8;2016;1;1;8;V;8;V;7;V;7;V;7;V;7;V;7;V;7;V;7;V;7;V;6;V;7;V;6;V;6;V;5;V;5;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;5;V
28;102;1;14;28102001_14_6;2016;1;1;43;V;45;V;47;V;51;V;50;V;49;V;48;V;40;V;42;V;42;V;47;V;50;V;56;V;62;V;66;V;65;V;64;V;61;V;59;V;55;V;50;V;57;V;59;V;67;V
28;123;2;7;28123002_7_8;2016;1;1;1;V;2;V;1;V;1;V;3;V;2;V;1;V;2;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V
28;123;2;8;28123002_8_8;2016;1;1;20;V;23;V;19;V;14;V;22;V;16;V;13;V;15;V;17;V;6;V;2;V;3;V;2;V;3;V;4;V;3;V;5;V;5;V;6;V;5;V;9;V;22;V;9;V;8;V
28;123;2;10;28123002_10_49;2016;1;1;11;V;11;V;12;V;15;V;13;V;14;V;12;V;9;V;17;V;14;V;8;V;10;V;9;V;7;V;6;V;5;V;7;V;10;V;11;V;10;V;11;V;8;V;6;V;7;V
28;123;2;12;28123002_12_8;2016;1;1;22;V;26;V;21;V;16;V;27;V;19;V;15;V;18;V;22;V;9;V;4;V;5;V;4;V;5;V;6;V;5;V;7;V;7;V;8;V;7;V;11;V;25;V;11;V;10;V
28;123;2;14;28123002_14_6;2016;1;1;32;V;30;V;31;V;37;V;29;V;34;V;31;V;30;V;24;V;34;V;44;V;47;V;60;V;61;V;61;V;64;V;59;V;56;V;53;V;51;V;47;V;36;V;53;V;60;V
28;123;2;14;28123002_14_8;2016;1;1;35;V;33;V;34;V;40;V;31;V;36;V;34;V;31;V;25;V;37;V;47;V;51;V;65;V;66;V;67;V;70;V;65;V;62;V;58;V;55;V;51;V;39;V;58;V;65;V
28;13;2;7;28013002_7_8;2016;1;1;3;V;3;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;3;V;2;V;2;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;13;2;8;28013002_8_8;2016;1;1;18;V;20;V;13;V;9;V;10;V;10;V;12;V;11;V;13;V;9;V;9;V;10;V;7;V;8;V;6;V;6;V;9;V;9;V;8;V;12;V;12;V;8;V;8;V;5;V
