PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;14;2;14;28014002_14_6;2007;1;1;3;V;5;V;12;V;3;V;2;V;2;V;3;V;3;V;5;V;12;V;24;V;34;V;34;V;38;V;41;V;39;V;35;V;24;V;19;V;7;V;5;V;3;V;3;V;2;V
28;148;4;7;28148004_7_8;2007;1;1;7;V;10;V;8;V;5;V;4;V;5;V;7;V;7;V;8;V;7;V;7;V;7;V;8;V;9;V;9;V;8;V;8;V;6;V;15;V;33;V;21;V;37;V;59;V;32;V
28;148;4;8;28148004_8_8;2007;1;1;27;V;29;V;27;V;18;V;16;V;20;V;22;V;23;V;21;V;17;V;15;V;14;V;15;V;17;V;20;V;20;V;26;V;24;V;32;V;34;V;31;V;32;V;34;V;27;V
28;148;4;9;28148004_9_49;2007;1;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;10;28148004_10_49;2007;1;1;106;V;77;V;62;V;51;V;45;V;42;V;44;V;49;V;41;V;39;V;37;V;36;V;32;V;45;V;49;V;56;V;61;V;62;V;57;V;72;V;74;V;64;V;74;V;65;V
28;148;4;14;28148004_14_6;2007;1;1;10;V;7;V;8;V;12;V;14;V;10;V;7;V;7;V;10;V;18;V;23;V;26;V;26;V;24;V;23;V;23;V;17;V;17;V;6;V;6;V;6;V;7;V;6;V;6;V
28;16;1;1;28016001_1_38;2007;1;1;3;V;3;V;2;V;3;V;3;V;3;V;3;V;4;V;3;V;3;V;2;V;3;V;2;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;16;1;6;28016001_6_48;2007;1;1;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;16;1;7;28016001_7_8;2007;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2007;1;1;9;V;8;V;8;V;7;V;6;V;5;V;4;V;4;V;4;V;4;V;4;V;3;V;4;V;5;V;6;V;6;V;8;V;9;V;8;V;9;V;10;V;18;V;21;V;15;V
28;16;1;9;28016001_9_49;2007;1;1;1;V;3;V;1;V;1;V;1;V;5;V;3;V;1;V;1;V;2;V;5;V;5;V;4;V;2;V;1;V;2;V;4;V;3;V;4;V;5;V;5;V;4;V;3;V;1;V
28;16;1;10;28016001_10_49;2007;1;1;8;V;4;V;5;V;4;V;3;V;2;V;2;V;2;V;2;V;3;V;7;V;4;V;2;V;3;V;9;V;17;V;13;V;10;V;8;V;8;V;5;V;2;V;2;V;7;V
28;16;1;14;28016001_14_6;2007;1;1;32;V;31;V;31;V;32;V;35;V;32;V;32;V;33;V;35;V;32;V;33;V;32;V;34;V;33;V;35;V;35;V;37;V;40;V;40;V;39;V;37;V;32;V;30;V;37;V
28;16;1;20;28016001_20_59;2007;1;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;30;28016001_30_59;2007;1;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;16;1;42;28016001_42_2;2007;1;1;6.6;V;6.6;V;7;V;6.8;V;6.7;V;6.5;V;6.5;V;6.5;V;6.5;V;6.5;V;6.5;V;6.6;V;6.6;V;6.6;V;6.6;V;6.7;V;6.8;V;6.8;V;6.7;V;6.6;V;6.6;V;6.7;V;6.7;V;6.6;V
28;16;1;44;28016001_44_2;2007;1;1;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V
28;161;1;7;28161001_7_8;2007;1;1;1;V;1;V;1;V;1;V;2;V;2;V;1;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;3;V;2;V;4;V;13;V;30;V;49;V;29;V;14;V;15;V;2;V
28;161;1;8;28161001_8_8;2007;1;1;14;V;12;V;10;V;16;V;19;V;17;V;12;V;23;V;16;V;9;V;5;V;2;V;2;V;6;V;10;V;7;V;17;V;35;V;44;V;46;V;38;V;30;V;30;V;17;V
28;161;1;9;28161001_9_49;2007;1;1;57;V;31;V;23;V;18;V;22;V;27;V;26;V;26;V;30;V;25;V;14;V;11;V;10;V;11;V;15;V;23;V;12;V;14;V;18;V;32;V;34;V;22;V;19;V;20;V
28;161;1;14;28161001_14_6;2007;1;1;34;V;35;V;38;V;23;V;14;V;17;V;21;V;10;V;19;V;30;V;41;V;44;V;43;V;38;V;37;V;40;V;26;V;6;V;3;V;3;V;3;V;3;V;3;V;16;V
28;171;1;1;28171001_1_38;2007;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;171;1;6;28171001_6_48;2007;1;1;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.2;V;0.1;V;0.2;V
28;171;1;7;28171001_7_8;2007;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;2;V;1;V;2;V;1;V;1;V;1;V
28;171;1;8;28171001_8_8;2007;1;1;6;V;5;V;6;V;6;V;5;V;4;V;4;V;3;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;2;V;2;V;3;V;2;V;2;V
28;171;1;9;28171001_9_49;2007;1;1;19;V;17;V;16;V;8;V;11;V;10;V;15;V;8;V;3;V;4;V;9;V;8;V;5;V;5;V;5;V;9;V;6;V;2;V;9;V;14;V;13;V;7;V;5;V;9;V
28;171;1;10;28171001_10_49;2007;1;1;28;V;36;V;35;V;29;V;24;V;17;V;23;V;19;V;10;V;12;V;12;V;12;V;15;V;21;V;27;V;19;V;11;V;15;V;21;V;18;V;18;V;22;V;29;V;19;V
28;171;1;14;28171001_14_6;2007;1;1;16;V;13;V;13;V;8;V;6;V;6;V;10;V;13;V;16;V;28;V;33;V;39;V;42;V;48;V;49;V;45;V;42;V;40;V;33;V;30;V;26;V;18;V;10;V;8;V
28;180;1;7;28180001_7_8;2007;1;1;12;V;10;V;5;V;3;V;1;V;4;V;5;V;2;V;2;V;2;V;4;V;4;V;5;V;5;V;5;V;2;V;4;V;5;V;4;V;7;V;10;V;3;V;1;V;1;V
28;180;1;8;28180001_8_8;2007;1;1;48;V;35;V;21;V;23;V;14;V;13;V;15;V;13;V;12;V;13;V;16;V;14;V;15;V;17;V;18;V;10;V;18;V;22;V;27;V;28;V;32;V;19;V;18;V;10;V
28;180;1;9;28180001_9_49;2007;1;1;42;V;41;V;40;V;36;V;36;V;31;V;18;V;22;V;23;V;24;V;23;V;22;V;30;V;24;V;37;V;30;V;25;V;28;V;26;V;36;V;32;V;31;V;23;V;19;V
28;180;1;14;28180001_14_6;2007;1;1;2;V;10;V;21;V;16;V;27;V;29;V;27;V;28;V;29;V;28;V;26;V;29;V;25;V;24;V;27;V;36;V;26;V;23;V;17;V;17;V;9;V;26;V;25;V;28;V
28;45;2;6;28045002_6_48;2007;1;1;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.3;V;0.4;V;0.5;V;0.6;V;0.6;V;0.6;V;0.4;V;0.4;V;0.4;V
28;45;2;7;28045002_7_8;2007;1;1;14;V;6;V;5;V;6;V;7;V;7;V;7;V;7;V;9;V;6;V;8;V;7;V;10;V;12;V;9;V;9;V;13;V;16;V;27;V;29;V;29;V;16;V;14;V;9;V
28;45;2;8;28045002_8_8;2007;1;1;23;V;13;V;12;V;12;V;12;V;11;V;13;V;13;V;14;V;11;V;11;V;9;V;13;V;14;V;13;V;16;V;24;V;30;V;39;V;42;V;42;V;39;V;39;V;34;V
28;45;2;10;28045002_10_49;2007;1;1;23;V;26;V;17;V;11;V;8;V;7;V;11;V;11;V;11;V;14;V;15;V;16;V;18;V;12;V;12;V;10;V;17;V;12;V;25;V;32;V;42;V;41;V;27;V;23;V
28;45;2;14;28045002_14_6;2007;1;1;17;V;26;V;27;V;26;V;26;V;28;V;25;V;25;V;23;V;26;V;28;V;30;V;26;V;24;V;29;V;27;V;22;V;13;V;7;V;6;V;6;V;6;V;7;V;10;V
28;47;2;1;28047002_1_38;2007;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;47;2;7;28047002_7_8;2007;1;1;5;V;5;V;8;V;6;V;6;V;5;V;4;V;5;V;4;V;4;V;5;V;5;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;4;V;3;V;2;V
28;47;2;8;28047002_8_8;2007;1;1;20;V;18;V;26;V;23;V;21;V;20;V;16;V;20;V;14;V;12;V;11;V;9;V;8;V;8;V;7;V;9;V;14;V;13;V;16;V;18;V;21;V;16;V;12;V;9;V
28;47;2;9;28047002_9_49;2007;1;1;80;V;21;V;8;V;18;V;23;V;12;V;12;V;9;V;7;V;8;V;7;V;15;V;11;V;11;V;6;V;2;V;7;V;9;V;9;V;7;V;2;V;4;V;7;V;3;V
28;47;2;14;28047002_14_6;2007;1;1;16;V;15;V;7;V;9;V;11;V;12;V;17;V;12;V;17;V;23;V;28;V;37;V;55;V;62;V;63;V;60;V;54;V;55;V;53;V;52;V;44;V;50;V;55;V;57;V
28;47;2;20;28047002_20_59;2007;1;1;4.3;V;3.8;V;3.5;V;4.3;V;4.3;V;3.5;V;3.3;V;3.7;V;3.3;V;3;V;2.9;V;3;V;2.1;V;0.9;V;0.6;V;0.4;V;0.7;V;1;V;1.6;V;1.4;V;1.1;V;1.1;V;0.9;V;0.7;V
28;47;2;30;28047002_30_59;2007;1;1;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.3;V;0.4;V;0.3;V;0.3;V;0.2;V;0.4;V;0.4;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.3;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;47;2;42;28047002_42_2;2007;1;1;6.5;V;6.3;V;6.5;V;6.7;V;6.4;V;6.3;V;6.3;V;6.3;V;6.3;V;6.4;V;6.4;V;6.2;V;5.9;V;5.8;V;5.8;V;5.8;V;5.9;V;5.9;V;5.8;V;5.8;V;5.9;V;5.8;V;5.8;V;5.8;V
28;47;2;44;28047002_44_2;2007;1;1;0.5;V;0.4;V;0.4;V;0.6;V;0.5;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;5;2;1;28005002_1_38;2007;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;2;V;2;V;3;V;2;V;1;V
28;5;2;6;28005002_6_48;2007;1;1;0.7;V;0.8;V;0.7;V;0.7;V;0.6;V;0.6;V;0.8;V;0.8;V;0.8;V;0.6;V;0.6;V;0.7;V;0.7;V;0.7;V;0.6;V;0.8;V;0.8;V;0.7;V;0.8;V;0.9;V;0.8;V;0.9;V;0.6;V;0.7;V
28;5;2;7;28005002_7_8;2007;1;1;19;V;23;V;16;V;9;V;7;V;10;V;13;V;15;V;9;V;8;V;9;V;11;V;9;V;12;V;12;V;12;V;15;V;8;V;13;V;11;V;22;V;37;V;24;V;26;V
28;5;2;8;28005002_8_8;2007;1;1;35;V;37;V;33;V;28;V;27;V;26;V;26;V;28;V;22;V;21;V;21;V;21;V;18;V;21;V;25;V;29;V;35;V;35;V;35;V;33;V;35;V;41;V;35;V;33;V
28;5;2;10;28005002_10_49;2007;1;1;47;V;53;V;49;V;43;V;35;V;33;V;33;V;26;V;16;V;32;V;24;V;34;V;27;V;28;V;29;V;45;V;50;V;45;V;40;V;57;V;49;V;61;V;63;V;54;V
28;5;2;14;28005002_14_6;2007;1;1;7;V;5;V;6;V;9;V;9;V;8;V;7;V;5;V;12;V;15;V;21;V;26;V;32;V;31;V;23;V;20;V;12;V;11;V;9;V;10;V;8;V;5;V;4;V;5;V
28;58;4;7;28058004_7_8;2007;1;1;5;V;3;V;2;V;4;V;3;V;2;V;2;V;3;V;2;V;4;V;2;V;3;V;4;V;8;V;6;V;4;V;3;V;5;V;5;V;6;V;9;V;9;V;7;V;8;V
28;58;4;8;28058004_8_8;2007;1;1;38;V;31;V;22;V;28;V;25;V;16;V;13;V;14;V;14;V;17;V;12;V;12;V;20;V;27;V;19;V;17;V;19;V;28;V;31;V;35;V;41;V;41;V;38;V;37;V
28;58;4;10;28058004_10_49;2007;1;1;113;V;42;V;23;V;28;V;29;V;19;V;14;V;13;V;10;V;10;V;10;V;7;V;9;V;19;V;25;V;18;V;19;V;20;V;20;V;20;V;17;V;25;V;29;V;33;V
28;58;4;14;28058004_14_6;2007;1;1;18;V;23;V;27;V;14;V;15;V;29;V;33;V;30;V;28;V;26;V;31;V;32;V;26;V;22;V;29;V;32;V;34;V;25;V;22;V;17;V;9;V;7;V;7;V;6;V
28;58;4;20;28058004_20_59;2007;1;1;2.7;V;2.8;V;2.7;V;2.7;V;2.7;V;2.8;V;2.1;V;2.1;V;2.1;V;2.5;V;2.5;V;2.3;V;2.3;V;2.7;V;2.5;V;2.3;V;2.4;V;2.5;V;2.8;V;2.7;V;4;V;3.5;V;4.3;V;3.5;V
28;58;4;30;28058004_30_59;2007;1;1;0.8;V;0.7;V;0.5;V;0.6;V;0.5;V;0.6;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.6;V;0.5;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.8;V;0.7;V;0.7;V;0.6;V
28;58;4;42;28058004_42_2;2007;1;1;7.2;V;7.1;V;7.1;V;7.2;V;7.2;V;7;V;6.9;V;6.9;V;7;V;7;V;6.9;V;6.9;V;7;V;7;V;6.9;V;6.6;V;6.7;V;6.8;V;6.9;V;7.2;V;7.2;V;7.2;V;7.2;V;7.2;V
28;58;4;44;28058004_44_2;2007;1;1;1.2;V;1.1;V;1.1;V;1.2;V;1.2;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.1;V;1.2;V;1.3;V;1.3;V;1.6;V;1.4;V;1.2;V;1.2;V;1.2;V;1.1;V;1.1;V;1.1;V;1;V
28;6;4;7;28006004_7_8;2007;1;1;3;V;3;V;1;V;2;V;4;V;2;V;3;V;3;V;4;V;4;V;3;V;4;V;8;V;13;V;14;V;19;V;18;V;27;V;38;V;47;V;56;V;43;V;33;V;37;V
28;6;4;8;28006004_8_8;2007;1;1;31;V;27;V;22;V;27;V;38;V;31;V;33;V;31;V;29;V;27;V;25;V;25;V;32;V;40;V;43;V;52;V;54;V;56;V;62;V;65;V;70;V;67;V;61;V;62;V
28;6;4;10;28006004_10_49;2007;1;1;39;V;37;V;31;V;25;V;27;V;30;V;29;V;26;V;27;V;24;V;22;V;23;V;32;V;44;V;59;V;62;V;58;V;57;V;54;V;54;V;52;V;59;V;54;V;50;V
28;6;4;14;28006004_14_6;2007;1;1;14;V;20;V;26;V;17;V;11;V;15;V;11;V;10;V;12;V;16;V;18;V;17;V;12;V;10;V;10;V;7;V;4;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V
28;6;4;20;28006004_20_59;2007;1;1;0.8;V;0.8;V;0.7;V;0.7;V;0.8;V;0.7;V;0.7;V;0.7;V;0.7;V;0.7;V;0.8;V;0.7;V;0.7;V;0.7;V;0.7;V;0.8;V;0.8;V;0.8;V;0.7;V;0.8;V;0.8;V;0.8;V;0.8;V;0.7;V
28;6;4;30;28006004_30_59;2007;1;1;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V
28;6;4;42;28006004_42_2;2007;1;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;6;4;44;28006004_44_2;2007;1;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;67;1;7;28067001_7_8;2007;1;1;3;V;3;V;3;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;3;V;3;V;4;V;3;V;4;V;5;V;6;V;5;V;6;V;6;V;6;V;3;V;4;V
28;67;1;8;28067001_8_8;2007;1;1;12;V;13;V;11;V;11;V;11;V;10;V;10;V;9;V;9;V;8;V;9;V;9;V;8;V;9;V;8;V;11;V;14;V;18;V;16;V;17;V;20;V;22;V;25;V;28;V
28;67;1;10;28067001_10_49;2007;1;1;16;V;12;V;11;V;10;V;9;V;7;V;8;V;8;V;5;V;5;V;7;V;4;V;5;V;5;V;5;V;18;V;17;V;15;V;21;V;15;V;12;V;16;V;17;V;19;V
28;67;1;14;28067001_14_6;2007;1;1;25;V;19;V;17;V;17;V;19;V;22;V;23;V;22;V;22;V;24;V;26;V;30;V;32;V;32;V;33;V;27;V;22;V;18;V;18;V;16;V;15;V;14;V;15;V;15;V
28;74;7;7;28074007_7_8;2007;1;1;9;V;8;V;4;V;6;V;3;V;3;V;6;V;7;V;2;V;2;V;3;V;3;V;4;V;10;V;10;V;8;V;11;V;17;V;59;V;77;V;118;V;167;V;117;V;6;V
28;74;7;8;28074007_8_8;2007;1;1;26;V;35;V;38;V;42;V;23;V;16;V;32;V;27;V;22;V;16;V;18;V;17;V;17;V;24;V;23;V;19;V;33;V;52;V;61;V;67;V;72;V;76;V;65;V;28;V
28;74;7;10;28074007_10_49;2007;1;1;68;V;40;V;16;V;14;V;25;V;36;V;20;V;42;V;33;V;32;V;29;V;15;V;20;V;29;V;29;V;33;V;26;V;26;V;33;V;36;V;46;V;60;V;72;V;55;V
28;74;7;14;28074007_14_6;2007;1;1;27;V;21;V;15;V;12;V;22;V;27;V;9;V;14;V;18;V;27;V;27;V;28;V;29;V;26;V;27;V;31;V;18;V;7;V;4;V;4;V;4;V;5;V;8;V;16;V
28;80;3;7;28080003_7_8;2007;1;1;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;3;V;2;V;2;V;3;V;2;V;2;V;3;V;2;V;1;V;1;V;1;V;3;V;12;V;15;V;9;V;2;V
28;80;3;8;28080003_8_8;2007;1;1;16;V;27;V;26;V;20;V;27;V;25;V;20;V;16;V;20;V;20;V;18;V;17;V;13;V;12;V;13;V;14;V;17;V;26;V;30;V;43;V;53;V;49;V;43;V;27;V
28;80;3;10;28080003_10_49;2007;1;1;18;V;16;V;13;V;17;V;23;V;33;V;27;V;25;V;16;V;24;V;31;V;21;V;16;V;14;V;9;V;9;V;16;V;13;V;14;V;12;V;12;V;25;V;14;V;17;V
28;80;3;14;28080003_14_6;2007;1;1;40;V;24;V;26;V;29;V;20;V;20;V;22;V;22;V;19;V;23;V;29;V;31;V;37;V;40;V;44;V;41;V;35;V;25;V;28;V;13;V;3;V;3;V;4;V;19;V
28;9;1;7;28009001_7_8;2007;1;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;9;1;8;28009001_8_8;2007;1;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;9;1;9;28009001_9_49;2007;1;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;9;1;14;28009001_14_6;2007;1;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;9;1;14;28009001_14_8;2007;1;1;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;92;5;1;28092005_1_38;2007;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V
28;92;5;6;28092005_6_48;2007;1;1;0.5;V;0.5;V;0.4;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.6;V
28;92;5;7;28092005_7_8;2007;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;2;V;2;V;2;V;1;V;2;V;3;V;4;V;7;V;6;V;20;V
