PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;6;4;10;28006004_10_49;2007;12;18;28;V;26;V;22;V;26;V;17;V;13;V;10;V;12;V;19;V;20;V;17;V;18;V;23;V;25;V;19;V;19;V;27;V;29;V;32;V;23;V;24;V;21;V;24;V;14;V
28;6;4;14;28006004_14_6;2007;12;18;14;V;22;V;20;V;28;V;36;V;32;V;12;V;4;V;5;V;8;V;8;V;7;V;5;V;4;V;4;V;3;V;3;V;3;V;4;V;4;V;5;V;6;V;14;V;24;V
28;6;4;20;28006004_20_59;2007;12;18;0.8;V;0.6;V;0.4;V;0.5;V;0.4;V;0.3;V;0.4;V;0.8;V;0.9;V;0.8;V;0.6;V;0.6;V;0.6;V;0.7;V;1;V;1.5;V;1.5;V;1.2;V;1.5;V;1.3;V;0.8;V;0.6;V;0.6;V;0.4;V
28;6;4;30;28006004_30_59;2007;12;18;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V;0.4;V;0.3;V;0.3;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V
28;6;4;42;28006004_42_2;2007;12;18;7.3;V;7.1;V;7.2;V;7.1;V;7.1;V;7;V;7.2;V;7.2;V;7.2;V;7.1;V;7.1;V;7.1;V;7.2;V;7.2;V;7.6;V;7.4;V;7.6;V;7.6;V;7.4;V;7.4;V;7.2;V;7.2;V;7.1;V;7;V
28;6;4;44;28006004_44_2;2007;12;18;0.8;V;0.7;V;0.8;V;0.7;V;0.7;V;0.7;V;0.8;V;0.9;V;0.9;V;0.9;V;0.9;V;0.9;V;0.9;V;0.9;V;1.1;V;1.1;V;1.1;V;1.1;V;1;V;1;V;0.9;V;0.9;V;0.8;V;0.7;V
28;67;1;7;28067001_7_8;2007;12;18;6;V;5;V;6;V;5;V;4;V;7;V;7;V;12;V;14;V;18;V;11;V;18;V;14;V;13;V;12;V;16;V;23;V;18;V;17;V;22;V;22;V;22;V;23;V;16;V
28;67;1;8;28067001_8_8;2007;12;18;11;V;13;V;14;V;13;V;10;V;15;V;17;V;21;V;17;V;21;V;19;V;22;V;20;V;20;V;20;V;20;V;23;V;21;V;21;V;22;V;18;V;16;V;15;V;14;V
28;67;1;10;28067001_10_49;2007;12;18;32;V;35;V;40;V;34;V;32;V;36;V;33;V;34;V;33;V;33;V;34;V;44;V;40;V;27;V;33;V;33;V;38;V;42;V;30;V;44;V;51;V;49;V;61;V;50;V
28;67;1;14;28067001_14_6;2007;12;18;6;V;5;V;5;V;8;V;14;V;10;V;8;V;4;V;6;V;4;V;8;V;5;V;6;V;7;V;6;V;5;V;4;V;3;V;4;V;3;V;3;V;3;V;3;V;3;V
28;74;7;7;28074007_7_8;2007;12;18;30;V;3;V;4;V;2;V;3;V;14;V;25;V;50;V;48;V;40;V;50;V;68;V;63;V;44;V;29;V;29;V;21;V;35;V;38;V;36;V;25;V;13;V;7;V;4;V
28;74;7;8;28074007_8_8;2007;12;18;45;V;16;V;5;V;2;V;6;V;24;V;41;V;53;V;52;V;46;V;50;V;51;V;53;V;52;V;45;V;58;V;47;V;57;V;60;V;62;V;53;V;44;V;33;V;19;V
28;74;7;10;28074007_10_49;2007;12;18;83;V;46;V;27;V;27;V;18;V;19;V;20;V;30;V;36;V;35;V;40;V;36;V;38;V;35;V;31;V;35;V;29;V;28;V;31;V;32;V;27;V;30;V;34;V;36;V
28;74;7;14;28074007_14_6;2007;12;18;6;V;22;V;31;V;36;V;33;V;21;V;11;V;4;V;4;V;5;V;4;V;4;V;4;V;8;V;9;V;9;V;9;V;5;V;5;V;5;V;8;V;12;V;18;V;28;V
28;80;3;7;28080003_7_8;2007;12;18;28;V;11;V;9;V;7;V;7;V;11;V;13;V;26;V;20;V;14;V;18;V;18;V;17;V;18;V;30;V;37;V;46;V;39;V;60;V;39;V;37;V;18;V;12;V;6;V
28;80;3;8;28080003_8_8;2007;12;18;51;V;36;V;35;V;26;V;25;V;32;V;34;V;41;V;31;V;27;V;31;V;28;V;29;V;31;V;39;V;42;V;46;V;49;V;58;V;56;V;53;V;45;V;37;V;25;V
28;80;3;10;28080003_10_49;2007;12;18;35;V;31;V;25;V;20;V;21;V;23;V;23;V;22;V;23;V;29;V;25;V;26;V;20;V;16;V;19;V;23;V;23;V;29;V;31;V;33;V;26;V;25;V;22;V;19;V
28;80;3;14;28080003_14_6;2007;12;18;6;V;13;V;13;V;21;V;20;V;13;V;16;V;8;V;15;V;18;V;13;V;16;V;18;V;15;V;10;V;8;V;5;V;4;V;4;V;4;V;5;V;9;V;16;V;25;V
28;9;1;7;28009001_7_8;2007;12;18;4;V;4;V;4;V;4;V;5;V;5;V;6;V;12;V;14;V;12;V;12;V;12;V;12;V;9;V;10;V;9;V;8;V;7;V;10;V;9;V;9;V;8;V;5;V;5;V
28;9;1;8;28009001_8_8;2007;12;18;24;V;19;V;18;V;11;V;18;V;19;V;23;V;25;V;27;V;25;V;27;V;33;V;36;V;35;V;36;V;33;V;35;V;40;V;43;V;27;V;28;V;26;V;19;V;15;V
28;9;1;9;28009001_9_49;2007;12;18;14;V;18;V;17;V;15;N;13;N;10;N;7;V;3;V;4;V;11;N;11;V;11;V;17;N;17;N;8;V;10;V;13;N;14;N;12;V;17;V;13;V;13;V;14;V;12;V
28;9;1;14;28009001_14_8;2007;12;18;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;9;1;14;28009001_14_6;2007;12;18;43;V;45;V;46;V;62;V;50;V;49;V;42;V;30;V;25;V;24;V;23;V;20;V;30;V;38;V;39;V;44;V;44;V;38;V;32;V;33;V;30;V;27;V;47;V;54;V
28;92;5;1;28092005_1_38;2007;12;18;6;V;5;V;4;V;3;V;4;V;4;V;4;V;5;V;6;V;6;V;5;V;7;V;8;V;7;V;7;V;6;V;6;V;7;V;7;V;7;V;7;V;5;V;5;V;5;V
28;92;5;6;28092005_6_48;2007;12;18;0.9;V;0.9;V;0.8;V;0.8;V;0.7;V;0.8;V;0.9;V;1;V;1;V;1;V;0.9;V;1;V;1.1;V;1;V;0.9;V;0.9;V;0.9;V;0.9;V;0.9;V;0.9;V;0.9;V;0.8;V;0.8;V;0.8;V
28;92;5;7;28092005_7_8;2007;12;18;19;V;9;V;2;V;3;V;2;V;4;V;13;V;40;V;54;V;53;V;40;V;50;V;80;V;46;V;17;V;16;V;22;V;30;V;24;V;17;V;12;V;9;V;5;V;4;V
28;92;5;8;28092005_8_8;2007;12;18;69;V;57;V;30;V;25;V;22;V;32;V;56;V;76;V;76;V;72;V;66;V;67;V;74;V;70;V;60;V;61;V;70;V;78;V;78;V;74;V;67;V;64;V;53;V;46;V
28;92;5;10;28092005_10_49;2007;12;18;40;V;28;V;22;V;11;V;17;V;9;V;10;V;17;V;28;V;27;V;31;V;26;V;31;V;27;V;26;V;26;V;15;V;21;V;25;V;22;V;19;V;24;V;22;V;19;V
28;92;5;14;28092005_14_6;2007;12;18;5;V;11;V;32;V;39;V;43;V;32;V;14;V;4;V;5;V;5;V;6;V;7;V;5;V;10;V;16;V;14;V;8;V;6;V;7;V;11;V;16;V;16;V;26;V;31;V
28;102;1;1;28102001_1_38;2007;12;19;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;;N;;N;;N;32;N;4;V;2;V;2;V;2;V;2;V;2;V;2;V
28;102;1;6;28102001_6_48;2007;12;19;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.2;V;;N;;N;;N;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;102;1;7;28102001_7_8;2007;12;19;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;;N;;N;;N;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;102;1;8;28102001_8_8;2007;12;19;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;2;V;2;V;3;V;3;V;;N;;N;;N;4;V;5;V;4;V;2;V;2;V;1;V;2;V;1;V
28;102;1;10;28102001_10_49;2007;12;19;15;V;16;V;22;V;16;V;11;V;3;V;18;V;24;V;24;V;22;V;29;V;25;V;15;V;;N;;N;;N;3;V;25;V;17;V;15;V;22;V;20;V;25;V;20;V
28;102;1;14;28102001_14_6;2007;12;19;78;V;77;V;75;V;73;V;72;V;70;V;70;V;71;V;74;V;74;V;75;V;70;V;68;V;;N;;N;;N;72;V;67;V;71;V;74;V;76;V;76;V;74;V;73;V
28;123;2;7;28123002_7_8;2007;12;19;2;V;2;V;2;V;2;V;2;V;5;V;14;V;42;V;59;V;40;V;36;V;21;V;4;V;3;V;4;V;4;V;5;V;77;V;36;V;12;V;9;V;10;V;5;V;4;V
28;123;2;8;28123002_8_8;2007;12;19;7;V;11;V;11;V;19;V;15;V;27;V;38;V;52;V;53;V;48;V;46;V;38;V;9;V;10;V;12;V;18;V;24;V;62;V;49;V;38;V;35;V;38;V;25;V;16;V
28;123;2;10;28123002_10_49;2007;12;19;9;V;12;V;20;V;17;V;24;V;15;V;16;V;18;V;39;V;41;V;41;V;35;V;36;V;23;V;11;V;18;V;27;V;41;V;69;V;39;V;34;V;27;V;31;V;20;V
28;123;2;14;28123002_14_6;2007;12;19;66;V;52;V;52;V;33;V;40;V;22;V;11;V;2;V;3;V;9;V;13;V;25;V;61;V;63;V;59;V;55;V;46;V;4;V;17;V;27;V;31;V;30;V;43;V;54;V
28;13;2;7;28013002_7_8;2007;12;19;2;V;2;V;2;V;2;V;2;V;2;V;2;V;6;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;13;2;8;28013002_8_8;2007;12;19;8;V;7;V;7;V;10;V;9;V;10;V;26;V;41;V;23;V;16;V;13;V;13;V;13;V;14;V;14;V;14;V;15;V;15;V;14;V;17;V;14;V;16;V;18;V;15;V
28;13;2;10;28013002_10_49;2007;12;19;13;V;16;V;12;V;12;V;8;V;5;V;4;V;7;V;22;V;6;V;10;V;12;V;12;V;20;V;8;V;10;V;20;V;19;V;14;V;16;V;8;V;11;V;13;V;12;V
28;13;2;14;28013002_14_6;2007;12;19;54;V;56;V;51;V;41;V;44;V;43;V;20;V;12;V;38;V;46;V;54;V;56;V;55;V;53;V;50;V;52;V;50;V;52;V;52;V;45;V;45;V;42;V;35;V;39;V
28;133;2;7;28133002_7_8;2007;12;19;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;3;V;3;V;3;V;4;V;4;V;4;V;2;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;133;2;8;28133002_8_8;2007;12;19;16;V;14;V;11;V;9;V;7;V;7;V;8;V;11;V;14;V;17;V;17;V;15;V;20;V;24;V;25;V;23;V;20;V;28;V;28;V;22;V;23;V;23;V;17;V;14;V
28;133;2;10;28133002_10_49;2007;12;19;26;V;28;V;19;V;19;V;21;V;14;V;13;V;13;V;16;V;17;V;22;V;17;V;26;V;27;V;21;V;27;V;25;V;25;V;28;V;25;V;31;V;35;V;24;V;24;V
28;133;2;14;28133002_14_6;2007;12;19;54;V;57;V;62;V;69;V;70;V;73;V;72;V;69;V;69;V;67;V;66;V;70;V;65;V;61;V;59;V;61;V;65;V;55;V;54;V;58;V;55;V;57;V;65;V;69;V
28;14;2;7;28014002_7_8;2007;12;19;4;V;4;V;4;V;5;V;5;V;6;V;16;V;41;V;30;V;65;V;4;V;8;V;8;V;6;V;7;V;9;V;8;V;16;V;7;V;5;V;5;V;5;V;5;V;4;V
28;14;2;8;28014002_8_8;2007;12;19;1;V;1;V;1;V;7;V;5;V;17;V;34;V;41;V;41;V;46;V;30;V;18;V;18;V;12;V;20;V;31;V;29;V;44;V;32;V;22;V;15;V;14;V;6;V;2;V
28;14;2;10;28014002_10_49;2007;12;19;15;V;19;V;8;V;5;V;17;V;9;V;23;V;32;V;48;V;57;V;80;V;55;V;29;V;23;V;16;V;26;V;34;V;33;V;37;V;26;V;20;V;21;V;22;V;15;V
28;14;2;14;28014002_14_6;2007;12;19;51;V;53;V;51;V;27;V;29;V;13;V;4;V;2;V;3;V;4;V;26;V;40;V;38;V;45;V;38;V;31;V;28;V;13;V;13;V;23;V;26;V;16;V;25;V;44;V
28;148;4;7;28148004_7_8;2007;12;19;3;V;2;V;3;V;3;V;3;V;5;V;23;V;83;V;94;V;54;V;25;V;51;V;24;V;64;V;46;V;22;V;73;V;63;V;10;V;4;V;3;V;5;V;4;V;3;V
28;148;4;8;28148004_8_8;2007;12;19;24;V;16;V;11;V;10;V;15;V;26;V;40;V;63;V;63;V;56;V;43;V;59;V;45;V;64;V;62;V;51;V;66;V;63;V;42;V;34;V;27;V;46;V;38;V;18;V
28;148;4;9;28148004_9_49;2007;12;19;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;148;4;10;28148004_10_49;2007;12;19;28;V;22;V;13;V;16;V;20;V;13;V;18;V;30;V;42;V;53;V;35;V;41;V;51;V;44;V;69;V;56;V;36;V;64;V;63;V;33;V;27;V;31;V;29;V;23;V
28;148;4;14;28148004_14_6;2007;12;19;31;V;40;V;50;V;48;V;38;V;24;V;14;V;7;V;7;V;14;V;23;V;11;V;26;V;9;V;9;V;14;V;7;V;6;V;31;V;38;V;45;V;26;V;36;V;53;V
28;16;1;1;28016001_1_38;2007;12;19;6;V;7;V;6;V;7;V;7;V;5;V;6;V;5;V;5;V;6;V;5;V;4;V;7;V;6;V;7;V;8;V;3;V;6;V;8;V;8;V;6;V;6;V;6;V;4;V
28;16;1;6;28016001_6_48;2007;12;19;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;16;1;7;28016001_7_8;2007;12;19;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;16;1;8;28016001_8_8;2007;12;19;4;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;2;V;3;V;3;V;3;V;4;V;3;V;3;V;3;V;3;V;4;V;4;V;3;V;3;V;3;V
28;16;1;9;28016001_9_49;2007;12;19;9;V;10;V;10;V;10;V;9;V;12;V;11;V;8;V;7;V;9;V;9;V;8;V;10;V;7;V;4;V;8;V;13;V;13;V;8;V;5;V;7;V;7;V;10;V;11;V
28;16;1;10;28016001_10_49;2007;12;19;17;V;17;V;19;V;13;V;9;V;9;V;12;V;14;V;12;V;14;V;16;V;16;V;15;V;16;V;17;V;17;V;15;V;12;V;15;V;17;V;20;V;17;V;14;V;17;V
28;16;1;14;28016001_14_6;2007;12;19;68;V;70;V;73;V;78;V;77;V;74;V;74;V;72;V;71;V;72;V;75;V;73;V;72;V;72;V;71;V;72;V;73;V;65;V;62;V;66;V;68;V;75;V;72;V;73;V
28;16;1;20;28016001_20_59;2007;12;19;0.6;V;0.7;V;0.7;V;0.7;V;0.6;V;0.6;V;0.6;V;0.5;V;0.6;V;0.6;V;0.6;V;0.6;V;0.9;V;1.1;V;0.6;V;0.7;V;0.7;V;0.7;V;0.7;V;0.7;V;0.7;V;0.7;V;0.6;V;0.7;V
28;16;1;30;28016001_30_59;2007;12;19;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;16;1;42;28016001_42_2;2007;12;19;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.3;V;6.4;V;6.4;V;6.3;V;6.3;V;6.3;V;6.3;V
28;16;1;44;28016001_44_2;2007;12;19;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V
28;161;1;7;28161001_7_8;2007;12;19;1;V;1;V;1;V;1;V;1;V;1;V;4;V;5;V;12;V;7;V;8;V;7;V;5;V;5;V;5;V;7;V;10;V;9;V;7;V;4;V;2;V;1;V;2;V;1;V
28;161;1;8;28161001_8_8;2007;12;19;3;V;3;V;1;V;1;V;2;V;15;V;27;V;32;V;41;V;30;V;25;V;22;V;17;V;17;V;22;V;28;V;36;V;38;V;36;V;27;V;18;V;14;V;15;V;7;V
28;161;1;9;28161001_9_49;2007;12;19;14;V;11;V;8;V;9;V;11;V;12;V;7;V;5;V;8;V;11;V;16;V;13;V;12;V;17;V;12;V;11;V;12;V;25;V;11;V;12;V;12;V;12;V;13;V;20;V
28;161;1;14;28161001_14_6;2007;12;19;50;V;50;V;51;V;50;V;46;V;34;V;25;V;21;V;19;V;27;V;34;V;41;V;44;V;42;V;34;V;33;V;28;V;25;V;27;V;34;V;40;V;42;V;39;V;44;V
28;171;1;1;28171001_1_38;2007;12;19;6;V;6;V;6;V;6;V;5;V;6;V;7;V;7;V;7;V;7;V;7;V;6;V;5;V;5;V;6;V;6;V;6;V;6;V;5;V;6;V;6;V;5;V;5;V;5;V
28;171;1;6;28171001_6_48;2007;12;19;0.2;V;0.2;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V
28;171;1;7;28171001_7_8;2007;12;19;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;4;V;3;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V
28;171;1;8;28171001_8_8;2007;12;19;39;V;37;V;31;V;30;V;28;V;29;V;30;V;33;V;46;V;48;V;52;V;44;V;46;V;34;V;26;V;32;V;26;V;32;V;35;V;59;V;49;V;42;V;31;V;29;V
28;171;1;9;28171001_9_49;2007;12;19;9;V;11;V;12;V;11;V;11;V;9;V;8;V;8;V;4;V;7;V;9;V;10;V;15;V;7;V;9;V;11;V;8;V;7;V;9;V;12;V;14;V;9;V;3;V;7;V
28;171;1;10;28171001_10_49;2007;12;19;28;V;25;V;20;V;17;V;21;V;13;V;16;V;10;V;14;V;18;V;19;V;23;V;29;V;39;V;31;V;23;V;21;V;21;V;23;V;25;V;26;V;16;V;24;V;26;V
28;171;1;14;28171001_14_6;2007;12;19;27;V;31;V;35;V;39;V;41;V;42;V;40;V;37;V;31;V;29;V;29;V;37;V;36;V;47;V;54;V;45;V;51;V;46;V;41;V;18;V;28;V;31;V;46;V;46;V
28;180;1;7;28180001_7_8;2007;12;19;1;V;1;V;1;V;1;V;1;V;1;V;1;V;5;V;5;V;5;V;8;V;6;V;4;V;5;V;4;V;3;V;2;V;1;V;3;V;1;V;1;V;1;V;1;V;1;V
28;180;1;8;28180001_8_8;2007;12;19;1;V;1;V;1;V;1;V;1;V;6;V;7;V;6;V;4;V;8;V;18;V;16;V;7;V;19;V;19;V;17;V;15;V;7;V;9;V;5;V;1;V;2;V;1;V;1;V
28;180;1;9;28180001_9_49;2007;12;19;8;V;10;V;17;N;9;V;8;V;9;V;5;V;6;V;10;V;9;V;10;V;13;V;15;V;11;V;8;V;8;V;6;V;15;V;10;V;10;V;12;V;8;V;5;V;8;V
28;180;1;14;28180001_14_6;2007;12;19;75;V;71;V;72;V;70;V;67;V;60;V;62;V;66;V;67;V;64;V;54;V;53;V;60;V;53;V;56;V;58;V;59;V;65;V;62;V;66;V;70;V;69;V;70;V;73;V
28;45;2;6;28045002_6_48;2007;12;19;0.6;V;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.5;V;0.6;V;0.5;V;0.5;V;0.6;V;0.5;V;0.5;V;0.6;V;0.5;V;0.6;V;0.8;V;0.7;V;0.5;V;0.5;V;0.5;V;0.9;V;0.6;V;0.7;V
28;45;2;7;28045002_7_8;2007;12;19;4;V;4;V;4;V;4;V;4;V;8;V;22;V;36;V;28;V;24;V;26;V;20;V;24;V;27;V;23;V;23;V;38;V;39;V;36;V;29;V;18;V;15;V;10;V;7;V
28;45;2;8;28045002_8_8;2007;12;19;14;V;13;V;11;V;10;V;10;V;23;V;51;V;75;V;60;V;46;V;46;V;43;V;50;V;52;V;58;V;57;V;76;V;74;V;67;V;59;V;49;V;48;V;30;V;19;V
28;45;2;10;28045002_10_49;2007;12;19;14;V;11;V;11;V;9;V;6;V;9;V;12;V;12;V;11;V;10;V;16;V;19;V;25;V;23;V;21;V;20;V;20;V;17;V;14;V;19;V;18;V;14;V;13;V;13;V
28;45;2;14;28045002_14_6;2007;12;19;56;V;60;V;64;V;67;V;68;V;58;V;41;V;28;V;36;V;45;V;48;V;51;V;44;V;42;V;37;V;36;V;30;V;28;V;30;V;32;V;40;V;37;V;51;V;57;V
28;47;2;1;28047002_1_38;2007;12;19;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;2;V;2;V;3;V;2;V;2;V;2;V;2;V;2;V
28;47;2;7;28047002_7_8;2007;12;19;3;V;3;V;3;V;3;V;4;V;4;V;5;V;9;V;13;V;11;V;8;V;8;V;10;V;12;V;9;V;12;V;16;V;17;V;26;V;11;V;11;V;11;V;6;V;4;V
28;47;2;8;28047002_8_8;2007;12;19;18;V;12;V;9;V;7;V;14;V;17;V;28;V;46;V;47;V;31;V;23;V;24;V;33;V;37;V;40;V;45;V;51;V;53;V;57;V;34;V;37;V;34;V;30;V;19;V
28;47;2;9;28047002_9_49;2007;12;19;15;V;14;V;17;V;14;V;14;V;14;V;15;V;18;V;18;V;18;V;16;V;24;V;25;V;26;V;24;V;21;V;21;V;19;V;26;V;27;V;17;V;17;V;20;V;16;V
28;47;2;14;28047002_14_6;2007;12;19;52;V;63;V;67;V;70;V;61;V;60;V;51;V;33;V;37;V;48;V;57;V;58;V;49;V;44;V;37;V;32;V;30;V;29;V;26;V;39;V;35;V;41;V;44;V;54;V
28;47;2;20;28047002_20_59;2007;12;19;1.8;V;2;V;1.5;V;1.1;V;1.1;V;1;V;1.5;V;2.7;V;2.7;V;2.6;V;2.1;V;2.6;V;2.5;V;3.6;V;3.1;V;3.3;V;4.8;V;5.5;V;5.9;V;4.6;V;4.4;V;3.6;V;3.3;V;2.5;V
28;47;2;30;28047002_30_59;2007;12;19;0.8;V;0.7;V;0.6;V;0.6;V;0.6;V;0.7;V;0.9;V;1.3;V;1.4;V;1.3;V;1.1;V;1.2;V;1.4;V;1.5;V;1.4;V;1.4;V;1.8;V;2.3;V;2.2;V;1.8;V;1.6;V;1.5;V;1.4;V;1.1;V
28;47;2;42;28047002_42_2;2007;12;19;6.1;V;6.1;V;6;V;6;V;6;V;6;V;6.1;V;6.2;V;6.2;V;6.2;V;6.1;V;6.2;V;6.2;V;6.2;V;6.2;V;6.3;V;6.3;V;6.4;V;6.4;V;6.3;V;6.2;V;6.2;V;6.2;V;6.1;V
28;47;2;44;28047002_44_2;2007;12;19;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.5;V;0.6;V;0.6;V;0.5;V;0.5;V;0.5;V;0.4;V;0.4;V
28;49;3;7;28049003_7_8;2007;12;19;29;V;21;V;8;V;13;V;16;V;52;V;206;V;255;V;172;V;188;V;77;V;74;V;49;V;65;V;117;V;114;V;116;V;125;V;147;V;62;V;60;V;64;V;26;V;21;V
28;49;3;8;28049003_8_8;2007;12;19;54;V;46;V;41;V;44;V;48;V;56;V;90;V;101;V;88;V;97;V;76;V;81;V;65;V;71;V;87;V;85;V;87;V;86;V;103;V;83;V;79;V;83;V;70;V;54;V
28;49;3;10;28049003_10_49;2007;12;19;40;V;33;V;34;V;29;V;26;V;23;V;38;V;88;V;79;V;79;V;93;V;73;V;70;V;53;V;76;V;93;V;77;V;72;V;72;V;68;V;62;V;64;V;65;V;44;V
28;49;3;14;28049003_14_6;2007;12;19;3;V;4;V;8;V;5;V;8;V;7;V;4;V;5;V;4;V;5;V;13;V;8;V;18;V;13;V;5;V;4;V;4;V;3;V;5;V;8;V;9;V;6;V;9;V;18;V
28;5;2;1;28005002_1_38;2007;12;19;3;V;3;V;3;V;3;V;7;V;7;V;11;V;14;V;14;V;19;V;17;V;17;V;16;V;16;V;19;V;15;V;16;V;11;V;7;V;5;V;4;V;3;V;3;V;3;V
28;5;2;6;28005002_6_48;2007;12;19;1.2;V;1.2;V;1.2;V;1.2;V;1.2;V;1.5;V;1.6;V;1.8;V;1.5;V;1.7;V;1.4;V;1.5;V;1.4;V;1.4;V;1.5;V;1.3;V;1.5;V;1.4;V;1.3;V;1.2;V;1.1;V;1.1;V;1.1;V;1.1;V
28;5;2;7;28005002_7_8;2007;12;19;26;V;18;V;24;V;26;V;17;V;89;V;109;V;125;V;122;V;110;V;91;V;111;V;81;V;94;V;94;V;79;V;91;V;42;V;20;V;9;V;7;V;7;V;6;V;9;V
28;5;2;8;28005002_8_8;2007;12;19;65;V;63;V;59;V;57;V;46;V;74;V;86;V;91;V;81;V;79;V;78;V;91;V;80;V;96;V;88;V;81;V;88;V;61;V;62;V;34;V;22;V;18;V;13;V;18;V
28;5;2;10;28005002_10_49;2007;12;19;33;V;31;V;28;V;28;V;21;V;25;V;41;V;48;V;60;V;70;V;69;V;66;V;80;V;66;V;59;V;68;V;67;V;63;V;38;V;26;V;23;V;20;V;14;V;14;V
28;5;2;14;28005002_14_6;2007;12;19;5;V;10;V;10;V;9;V;16;V;3;V;3;V;3;V;3;V;6;V;7;V;5;V;5;V;5;V;5;V;3;V;3;V;23;V;24;V;47;V;58;V;62;V;64;V;61;V
28;58;4;7;28058004_7_8;2007;12;19;3;V;3;V;2;V;2;V;4;V;9;V;26;V;82;V;52;V;43;V;41;V;28;V;18;V;9;V;11;V;9;V;11;V;18;V;45;V;49;V;12;V;6;V;4;V;3;V
28;58;4;8;28058004_8_8;2007;12;19;13;V;10;V;9;V;15;V;17;V;32;V;58;V;80;V;71;V;62;V;59;V;50;V;38;V;27;V;36;V;37;V;46;V;57;V;72;V;78;V;46;V;28;V;21;V;15;V
28;58;4;10;28058004_10_49;2007;12;19;10;V;19;V;8;V;8;V;7;V;22;V;20;V;24;V;36;V;36;V;29;V;42;V;42;V;26;V;19;V;19;V;17;V;29;V;24;V;40;V;33;V;23;V;22;V;26;V
